counter	timestamp	deadtime	ch1_height	ch2_height	Delta_T
307	1719999661.5186064	0.0025001638895858908	497	1981	-18
308	1719999661.6280901	0.006895849050059398	2881	1308	-18
309	1719999661.7370117	0.00688679906132885	352	326	-72
310	1719999661.8473184	0.02991074067506059	3370	884	-20
311	1719999661.9616377	0.0061532875556647194	544	2214	-20
312	1719999662.067298	0.004632350946365108	601	1499	-19
313	1719999662.1728342	0.004106929341376918	1240	1200	-19
314	1719999662.2780328	0.00479689085374692	1377	2502	-19
315	1719999662.383488	0.016702221527258105	428	539	-22
316	1719999662.4992244	0.0026687978098747607	3117	1699	-19
317	1719999662.6156993	0.005071613054707678	1634	1339	-22
318	1719999662.7214186	0.002224646274453004	447	3301	-19
319	1719999662.8265824	0.002215022705683109	1702	672	-19
320	1719999662.9317505	0.0021945037655689615	440	2199	-19
321	1719999663.036904	0.002215153280898214	717	952	-24
322	1719999663.1426136	0.0025544943769558906	272	585	-20
323	1719999663.2588925	0.0061212110071506036	3497	2643	-19
324	1719999663.3647475	0.002519951501112941	3001	1049	-19
325	1719999663.469841	0.004047849339364712	2146	422	-21
327	1719999663.680676	0.002255526719839124	444	1830	-19
328	1719999663.7865717	0.002285114784805225	3311	2914	-17
329	1719999663.8926117	0.0025556879228573353	1473	1817	-71
330	1719999663.9978645	0.0026952956897918507	3518	2990	-21
331	1719999664.103023	0.0026640910008139647	325	2053	-18
332	1719999664.2082136	0.005019751137923315	725	3749	-19
333	1719999664.3137202	0.002397136124705456	772	3769	-19
334	1719999664.4188187	0.004534125918766029	610	650	-23
335	1719999664.5252244	0.004867090138598959	437	853	-24
336	1719999664.630779	0.007349892748346161	2532	2732	-44
337	1719999664.7365746	0.00220635539084657	435	3113	-21
338	1719999664.8416958	0.0022633618861651436	2398	728	-19
339	1719999664.94681	0.0023768160643736136	693	2632	-21
341	1719999665.1577713	0.0025280380353790255	1945	633	-20
342	1719999665.2693982	0.004257033591555001	2591	249	-19
343	1719999665.3758407	0.002157712869264155	228	464	-22
344	1719999665.4809945	0.0026560665739007467	587	2378	-20
345	1719999665.5861483	0.002768092351359562	289	274	-19
346	1719999665.6914032	0.0027634946882007837	2936	2779	-19
347	1719999665.8001533	0.0026200049988379893	594	725	-19
348	1719999665.9052675	0.0026381094531877343	1978	345	-20
349	1719999666.010461	0.0021519127987791467	2008	1871	-19
350	1719999666.1154566	0.004038828966245634	2267	2435	-85
351	1719999666.2206774	0.0023491814180884698	3233	212	-23
352	1719999666.3257349	0.0023352449510824053	296	279	-73
353	1719999666.4316049	0.0025621455379717622	210	1328	-14
355	1719999666.648474	0.0026344606497278253	617	3163	-24
356	1719999666.7537653	0.00235107055250158	481	920	-17
357	1719999666.8588803	0.0023973581430794147	463	1954	-19
358	1719999666.9682093	0.004462954863445767	839	2073	38
359	1719999667.0809002	0.004549800324895086	757	345	-42
360	1719999667.1894298	0.0032517248662348635	211	197	-24
361	1719999667.3023794	0.003639394067260222	1767	3745	-18
362	1719999667.407854	0.002336438018736784	1722	445	-19
363	1719999667.5170186	0.006908320199989131	938	888	-18
364	1719999667.6226833	0.002419106177676207	650	453	-17
365	1719999667.7277653	0.0023869380938983326	394	805	-21
366	1719999667.8335404	0.0027421335466354226	444	1710	-21
367	1719999667.9387736	0.0026307024043396394	2147	694	-18
368	1719999668.0440543	0.002425876010781671	1295	2766	-21
369	1719999668.1491423	0.0023823191082412358	544	3026	-21
370	1719999668.2541988	0.0023602515483477104	1068	3003	-19
371	1719999668.3592792	0.0027081523551172513	2289	2892	-19
372	1719999668.4648974	0.0026097164529528625	3493	2508	-20
373	1719999668.5701463	0.0021688827647476094	703	1466	-26
374	1719999668.6754837	0.002660380687807946	3474	1076	-23
375	1719999668.7805023	0.004935659745266501	600	2689	-20
376	1719999668.8858523	0.002375577160878986	2113	255	-17
377	1719999668.9909835	0.0022318492140896823	298	1576	-20
378	1719999669.096761	0.0023460688135111926	1609	2548	-20
379	1719999669.2021267	0.002229111976102109	639	2656	-23
380	1719999669.3079257	0.00514319610653988	641	3063	-18
381	1719999669.413548	0.002372242946651697	674	1974	-18
382	1719999669.5247314	0.0023221755976439457	301	3457	-19
383	1719999669.630065	0.002828284656668869	642	2177	-25
384	1719999669.7369168	0.0025710038966777807	582	808	-17
385	1719999669.8483248	0.003914688844205213	2792	607	-19
386	1719999669.953649	0.0027023350714123783	650	551	-17
387	1719999670.0587003	0.0028410767045325613	648	3113	-19
388	1719999670.1639454	0.002409119753422174	1060	207	-22
389	1719999670.2689526	0.004048454514956161	240	666	-19
391	1719999670.4886	0.008285600162282325	1736	2161	-22
392	1719999670.5950885	0.0021954045269511825	757	220	-18
393	1719999670.7002277	0.00408996566420635	1644	2383	-23
394	1719999670.8056128	0.00232752622716384	455	514	-21
395	1719999670.9123352	0.0021739567576987786	1390	1530	-19
396	1719999671.0183396	0.0023275321188188283	1867	396	-23
397	1719999671.1253986	0.0029487889935616253	2402	2663	-21
398	1719999671.2310758	0.002192482337082305	1156	3756	-18
399	1719999671.3408847	0.0030887494902695715	2419	3749	-18
400	1719999671.4461217	0.0022202114076684603	1371	2364	-18
401	1719999671.5530791	0.002329069687102303	2950	3727	-20
402	1719999671.6611397	0.0022461894212862854	209	3165	-20
403	1719999671.7672424	0.0034608832658887534	232	2411	-23
404	1719999671.8727086	0.00218207663978306	626	2067	-20
405	1719999671.977818	0.002392550663110724	839	3271	-20
406	1719999672.0830886	0.0026965773165999124	792	395	-18
407	1719999672.1883996	0.0021993902411401494	546	1601	-20
408	1719999672.2990856	0.00477520245741413	1821	401	-20
409	1719999672.412851	0.006329087439742903	1071	889	63
410	1719999672.519968	0.0022002003434459074	2262	2701	45
411	1719999672.6253374	0.002095525171194902	2597	2442	-19
412	1719999672.73038	0.0021946398135350496	920	520	-92
413	1719999672.8354776	0.002496881732622746	2187	459	-22
414	1719999672.940625	0.0047937380524166635	2933	1411	-19
415	1719999673.050239	0.0024174808498022855	507	3114	-19
416	1719999673.1663702	0.004340807689313705	582	535	-20
417	1719999673.272028	0.0021947836554234916	1964	2656	45
418	1719999673.3779864	0.00239358231988518	549	3042	-19
419	1719999673.4833117	0.002548554951235687	486	2678	-21
420	1719999673.58858	0.003946660152981142	975	2215	-18
421	1719999673.6946523	0.002565822346061913	1687	542	-20
422	1719999673.801657	0.003490370317605891	210	2615	-19
423	1719999673.9076855	0.002100968066636492	711	3130	-18
424	1719999674.0128152	0.003945661696294972	377	545	-26
425	1719999674.1182303	0.0026293023403281984	3378	2178	-23
426	1719999674.2236397	0.002377768879055046	626	2689	-20
427	1719999674.332013	0.005702609256161383	591	1455	-18
428	1719999674.4434261	0.0022930264513912743	303	280	-20
429	1719999674.5528889	0.002719355541040714	1451	3222	-19
430	1719999674.6580696	0.0024716497241502856	738	2799	-21
431	1719999674.7632453	0.0026088060235993815	1990	502	-18
432	1719999674.8685813	0.0021873613086126785	1294	608	-20
433	1719999674.973756	0.0021558857267216483	2914	1037	-19
434	1719999675.0824516	0.0022982456140350875	1649	626	-17
435	1719999675.1875603	0.0022549602319387667	581	3141	-19
436	1719999675.2927527	0.0021646935088661767	2997	455	-5
437	1719999675.3982508	0.002464829303228226	789	2893	-19
438	1719999675.503418	0.0022471655328798186	580	2489	-23
439	1719999675.6085267	0.002290872799854836	2906	3147	-19
440	1719999675.7142372	0.0024219408902098564	616	652	-16
442	1719999675.9249043	0.002203565069647588	718	2760	-22
443	1719999676.0299354	0.004161758042591754	560	1866	-18
444	1719999676.1352854	0.004776735128680087	591	2658	-20
445	1719999676.2429333	0.017518162003100055	1431	622	-21
446	1719999676.3502088	0.0044962347412975555	404	330	-19
